result_scores_hnc
Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
HNC_KL_1_S_full_epoch3,0.5158871854807474,0.5025594566003876,0.013327728880359824,-0.005944209173321724,0.528415961305925,0.22611850060459493,0.16324062877871826,0.08948004836759371,0.053204353083434096,0.02539298669891173
HNC_KL_1_S_full_epoch4,0.49598901137763673,0.48343112765661606,0.01255788372102068,0.04859478026628494,0.5151148730350665,0.26481257557436516,0.18621523579201935,0.10278113663845223,0.056831922611850064,0.03506650544135429
HNC_KL_1_S_full_epoch5,0.4881394477392194,0.4732674479916998,0.014871999747519626,0.00528179993852973,0.5392986698911729,0.2781136638452237,0.19226118500604594,0.11729141475211609,0.06892382103990327,0.030229746070133012
HNC_KL_1_S_full_epoch6,0.4729688285051551,0.45942133888512166,0.013547489620033437,0.012588527984917164,0.5417170495767836,0.2998790810157195,0.21039903264812576,0.12817412333736397,0.07980652962515115,0.04232164449818621
HNC_KL_1_S_full_epoch7,0.457927848004084,0.4420619379940748,0.0158659100100092,0.0042885965667665005,0.535671100362757,0.31197097944377267,0.23216444981862153,0.13301088270858524,0.0773881499395405,0.041112454655380895
HNC_KL_1_S_full_epoch8,0.44426974304642036,0.4328641482102972,0.01140559483612319,0.029960069805383682,0.5211608222490931,0.2998790810157195,0.2370012091898428,0.14026602176541716,0.08101571946795647,0.041112454655380895
HNC_KL_1_S_full_epoch9,0.4493988595245251,0.43290115786578953,0.016497701658735542,0.008543537929654121,0.532043530834341,0.30350665054413545,0.22611850060459493,0.13301088270858524,0.08706166868198308,0.04836759371221282
HNC_KL_1_S_full_epoch10,0.43748179139364446,0.4244621847964544,0.013019606597190037,0.0064560361206531525,0.4957678355501814,0.3022974607013301,0.23821039903264812,0.13784764207980654,0.08706166868198308,0.044740024183796856
HNC_KL_1_S_full_epoch11,0.42931162374051335,0.41214886080685376,0.017162762933659592,-0.009908147156238556,0.49818621523579204,0.3047158403869408,0.2140266021765417,0.12817412333736397,0.07859733978234583,0.0471584038694075
HNC_KL_1_S_full_epoch12,0.4174006155353071,0.4001350495085895,0.017265566026717583,0.03869737312197685,0.5006045949214026,0.31197097944377267,0.2249093107617896,0.13784764207980654,0.08827085852478839,0.045949214026602174
HNC_KL_1_S_full_epoch13,0.4033148326204939,0.3885985078085146,0.014716324811979264,0.004020866937935352,0.48972188633615477,0.31559854897218864,0.22732769044740025,0.13422007255139057,0.08464328899637243,0.0471584038694075
HNC_KL_1_S_full_epoch14,0.39999124505067246,0.3857396851139461,0.014251559936726388,0.05698627606034279,0.5006045949214026,0.32889963724304716,0.2478839177750907,0.14026602176541716,0.08827085852478839,0.03990326481257558
HNC_KL_1_S_full_epoch15,0.3978582806569922,0.38280309471859175,0.01505518593840044,0.0042035337537527084,0.5042321644498187,0.3313180169286578,0.24667472793228537,0.15840386940749698,0.09068923821039904,0.053204353083434096
HNC_KL_1_S_full_epoch16,0.39401007851781694,0.37662897288727215,0.01738110563054479,0.03439512848854065,0.4909310761789601,0.3301088270858525,0.2430471584038694,0.14993954050785974,0.08343409915356712,0.045949214026602174
HNC_KL_1_S_full_epoch17,0.3879624946806422,0.3705216442947665,0.017440850385875728,0.00618867389857769,0.5006045949214026,0.34461910519951633,0.2672309552599758,0.154776299879081,0.09673518742442563,0.045949214026602174
HNC_KL_1_S_full_epoch18,0.36610306217419625,0.3507206414025525,0.015382420771643757,-0.00625198520720005,0.4957678355501814,0.34099153567110035,0.279322853688029,0.17291414752116083,0.09189842805320435,0.05562273276904474
HNC_KL_1_S_full_epoch19,0.3624389782782189,0.345162959744593,0.017276018533625925,0.027561699971556664,0.49334945586457074,0.3482466747279323,0.26844014510278114,0.15719467956469166,0.10157194679564692,0.049576783555018135
HNC_KL_1_S_full_epoch20,0.3436138044677882,0.3310943324447687,0.012519472023019507,0.01013266108930111,0.46432889963724305,0.33615477629987905,0.2708585247883918,0.16444981862152358,0.094316807738815,0.05078597339782346
HNC_KL_1_S_full_epoch21,0.33907777654793125,0.32137332083668646,0.017704455711244793,0.0439823754131794,0.49334945586457074,0.3591293833131802,0.2889963724304716,0.18863361547763,0.10761789600967352,0.0592503022974607
HNC_KL_1_S_full_epoch22,0.33901199838991175,0.32297656037354844,0.016035438016363313,0.013263948261737823,0.4800483675937122,0.3422007255139057,0.27327690447400244,0.1777509068923821,0.10761789600967352,0.05804111245465538
HNC_KL_1_S_full_epoch23,0.3279934162960952,0.3137803247790815,0.014213091517013665,0.022553367540240288,0.48246674727932287,0.35066505441354295,0.28174123337363965,0.17291414752116083,0.10882708585247884,0.060459492140266025
HNC_KL_1_S_full_epoch24,0.3255153820909641,0.3129727083653608,0.012542673725603304,0.03437911346554756,0.46311970979443773,0.3422007255139057,0.27448609431680776,0.17412333736396615,0.11487303506650544,0.06650544135429262
