Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
HNC_L2_1_S_vision_epoch49,0.3437420196533200,0.3269989137649540,0.016743105888366700,-0.002924246247857810,0.64,0.311,0.177,0.05,0.03,0.013
HNC_L2_1_S_vision_epoch50,0.3528981971740720,0.33617857706546800,0.01671962010860450,0.006161808501929050,0.646,0.311,0.171,0.053,0.028,0.014
HNC_L2_1_S_vision_epoch51,0.3409328784942630,0.32473398971557600,0.016198888778686500,0.0040141260251402900,0.634,0.309,0.176,0.056,0.027,0.015
HNC_L2_1_S_vision_epoch52,0.3410536861419680,0.323480297088623,0.017573389053344800,0.0034530151169747100,0.65,0.309,0.175,0.064,0.027,0.011
HNC_L2_1_S_vision_epoch53,0.345702067553997,0.32826710724830600,0.01743496030569080,0.00059628946473822,0.646,0.303,0.176,0.058,0.027,0.01
HNC_L2_1_S_vision_epoch54,0.33202171832323100,0.31536313056945800,0.016658587753772700,-0.003296117065474390,0.625,0.298,0.179,0.061,0.022,0.014
HNC_L2_1_S_vision_epoch55,0.34201660060882600,0.32486326599121100,0.0171533346176147,0.0044868565164506400,0.641,0.308,0.179,0.066,0.031,0.015
HNC_L2_1_S_vision_epoch56,0.35197985696792600,0.33546501922607400,0.016514837741851800,0.011471944861114000,0.634,0.309,0.166,0.05,0.028,0.012
HNC_L2_1_S_vision_epoch57,0.333307017326355,0.3169698350429540,0.016337182283401500,0.0034371144138276600,0.644,0.301,0.177,0.061,0.031,0.018
HNC_L2_1_S_vision_epoch58,0.3339388189315800,0.31834528684616100,0.015593532085418700,0.007179449778050180,0.627,0.303,0.177,0.061,0.029,0.015
HNC_L2_1_S_vision_epoch59,0.33721476221084600,0.32141251271963100,0.01580224949121480,0.006803738418966530,0.627,0.302,0.172,0.055,0.029,0.015
HNC_L2_1_S_vision_epoch60,0.3321336727142330,0.3158502985239030,0.01628337419033050,0.000529024051502347,0.628,0.315,0.167,0.061,0.029,0.017
HNC_L2_1_S_vision_epoch61,0.3290886936187740,0.31260683917999300,0.01648185443878180,-0.0041093709878623500,0.636,0.306,0.185,0.067,0.031,0.019
HNC_L2_1_S_vision_epoch62,0.3323631281852720,0.31646749591827400,0.01589563226699830,0.008320347405970100,0.629,0.302,0.176,0.059,0.029,0.015
HNC_L2_1_S_vision_epoch63,0.3247840509414670,0.3087633109092710,0.016020740032196100,-0.0013294978998601400,0.625,0.295,0.178,0.062,0.028,0.015
HNC_L2_1_S_vision_epoch64,0.33921122741699200,0.3233880758285520,0.015823151588439900,0.00757752638310194,0.629,0.298,0.175,0.058,0.029,0.017
HNC_L2_1_S_vision_epoch65,0.3187288284301760,0.3032899898290630,0.015438838601112400,0.0013879273319616900,0.636,0.298,0.176,0.063,0.032,0.012
HNC_L2_1_S_vision_epoch66,0.3261762809753420,0.3099617977142330,0.016214483261108400,0.0007861735648475590,0.631,0.31,0.183,0.072,0.03,0.016
HNC_L2_1_S_vision_epoch67,0.3272725620269780,0.31138633251190200,0.015886229515075700,0.0038962180260568900,0.63,0.307,0.182,0.065,0.031,0.016
